Ref_Date,Geography,Measure Type,Measure, Value 
2020/02,Alberta,AISH Client Average Age,All Ages Total,"68,574"
2020/02,Alberta,AISH Client Gender,Female,"32,030"
2020/02,Alberta,AISH Client Gender,Male,"36,544"
2020/02,Alberta,AISH Client Gender,All Gender Total,"68,574"
2020/02,Alberta,CSS Regions,Calgary,"19,978"
2020/02,Alberta,CSS Regions,Central,"9,331"
2020/02,Alberta,CSS Regions,Edmonton,"23,668"
2020/02,Alberta,CSS Regions,North Central,"4,385"
2020/02,Alberta,CSS Regions,North East,497
2020/02,Alberta,CSS Regions,North West,"3,287"
2020/02,Alberta,CSS Regions,South,"7,428"
2020/02,Alberta,CSS Regions,All Regions Total,"68,574"
2020/02,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,354"
2020/02,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,760"
2020/03,Alberta,Family Composition,Single Total,"59,439"
2020/03,Alberta,Family Composition,Single Parent Total,"4,164"
2020/03,Alberta,Family Composition,Childless Couples Total,"3,436"
2020/03,Alberta,Family Composition,Couples with Children Total,"1,911"
2020/03,Alberta,Family Composition,All Types Total,"68,950"
2020/03,Alberta,AISH Client Caseload,Straight AISH,"66,551"
2020/03,Alberta,AISH Client Caseload,Modified AISH,"2,249"
2020/03,Alberta,AISH Client Caseload,Com. Residence,150
2020/03,Alberta,AISH Client Caseload,Client Caseload Total,"68,950"
2020/03,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,529"
2020/03,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"20,936"
2020/03,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,438"
2020/03,Alberta,AISH Client Primary Medical Condition,Unknown,47
2020/03,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"68,950"
2020/03,Alberta,AISH Client Average Age,Age 18 - 19,"1,640"
2020/03,Alberta,AISH Client Average Age,Age 20 - 24,"6,285"
2020/03,Alberta,AISH Client Average Age,Age 25 - 29,"6,541"
2020/03,Alberta,AISH Client Average Age,Age 30 - 34,"6,155"
2020/03,Alberta,AISH Client Average Age,Age 35 - 39,"6,255"
2020/03,Alberta,AISH Client Average Age,Age 40 - 44,"5,833"
2020/03,Alberta,AISH Client Average Age,Age 45 - 49,"6,338"
2020/03,Alberta,AISH Client Average Age,Age 50 - 54,"7,850"
2020/03,Alberta,AISH Client Average Age,Age 55 - 59,"10,790"
2020/03,Alberta,AISH Client Average Age,Age 60 - 64,"10,656"
2020/03,Alberta,AISH Client Average Age,Age 65 +,607
2020/03,Alberta,AISH Client Average Age,All Ages Total,"68,950"
2020/03,Alberta,AISH Client Gender,Female,"32,220"
2020/03,Alberta,AISH Client Gender,Male,"36,730"
2020/03,Alberta,AISH Client Gender,All Gender Total,"68,950"
2020/03,Alberta,CSS Regions,Calgary,"20,102"
2020/03,Alberta,CSS Regions,Central,"9,361"
2020/03,Alberta,CSS Regions,Edmonton,"23,830"
2020/03,Alberta,CSS Regions,North Central,"4,411"
2020/03,Alberta,CSS Regions,North East,508
2020/03,Alberta,CSS Regions,North West,"3,295"
2020/03,Alberta,CSS Regions,South,"7,443"
2020/03,Alberta,CSS Regions,All Regions Total,"68,950"
2020/03,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,450"
2020/03,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,909"
2020/04,Alberta,Family Composition,Single Total,"59,808"
2020/04,Alberta,Family Composition,Single Parent Total,"4,167"
2020/04,Alberta,Family Composition,Childless Couples Total,"4,172"
2020/04,Alberta,Family Composition,Couples with Children Total,"1,148"
2020/04,Alberta,Family Composition,All Types Total,"69,295"
2020/04,Alberta,AISH Client Caseload,Straight AISH,"66,887"
2020/04,Alberta,AISH Client Caseload,Modified AISH,"2,259"
2020/04,Alberta,AISH Client Caseload,Com. Residence,149
2020/04,Alberta,AISH Client Caseload,Client Caseload Total,"69,295"
2020/04,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,649"
2020/04,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,065"
2020/04,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,529"
2020/04,Alberta,AISH Client Primary Medical Condition,Unknown,52
2020/04,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,295"
2020/04,Alberta,AISH Client Average Age,Age 18 - 19,"1,034"
2020/04,Alberta,AISH Client Average Age,Age 20 - 24,"6,055"
2020/04,Alberta,AISH Client Average Age,Age 25 - 29,"6,643"
2020/04,Alberta,AISH Client Average Age,Age 30 - 34,"6,222"
2020/04,Alberta,AISH Client Average Age,Age 35 - 39,"6,302"
2020/04,Alberta,AISH Client Average Age,Age 40 - 44,"5,899"
2020/04,Alberta,AISH Client Average Age,Age 45 - 49,"6,203"
2020/04,Alberta,AISH Client Average Age,Age 50 - 54,"7,598"
2020/04,Alberta,AISH Client Average Age,Age 55 - 59,"10,500"
2020/04,Alberta,AISH Client Average Age,Age 60 - 64,"10,924"
2020/04,Alberta,AISH Client Average Age,Age 65 +,"1,915"
2020/04,Alberta,AISH Client Average Age,All Ages Total,"69,295"
2020/04,Alberta,AISH Client Gender,Female,"32,370"
2020/04,Alberta,AISH Client Gender,Male,"36,925"
2020/04,Alberta,AISH Client Gender,All Gender Total,"69,295"
2020/04,Alberta,CSS Regions,Calgary,"20,189"
2020/04,Alberta,CSS Regions,Central,"9,382"
2020/04,Alberta,CSS Regions,Edmonton,"23,971"
2020/04,Alberta,CSS Regions,North Central,"4,429"
2020/04,Alberta,CSS Regions,North East,513
2020/04,Alberta,CSS Regions,North West,"3,315"
2020/04,Alberta,CSS Regions,South,"7,496"
2020/04,Alberta,CSS Regions,All Regions Total,"69,295"
2020/04,Alberta,AISH Client Income Type Snapshots,Employment Participation,"11,397"
2020/04,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,946"
2020/05,Alberta,Family Composition,Single Total,"59,975"
2020/05,Alberta,Family Composition,Single Parent Total,"4,221"
2020/05,Alberta,Family Composition,Childless Couples Total,"3,473"
2020/05,Alberta,Family Composition,Couples with Children Total,"1,925"
2020/05,Alberta,Family Composition,All Types Total,"69,594"
2020/05,Alberta,AISH Client Caseload,Straight AISH,"67,192"
2020/05,Alberta,AISH Client Caseload,Modified AISH,"2,255"
2020/05,Alberta,AISH Client Caseload,Com. Residence,147
2020/05,Alberta,AISH Client Caseload,Client Caseload Total,"69,594"
2020/05,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,758"
2020/05,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,157"
2020/05,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,623"
2020/05,Alberta,AISH Client Primary Medical Condition,Unknown,56
2020/05,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,594"
2020/05,Alberta,AISH Client Average Age,Age 18 - 19,"1,675"
2020/05,Alberta,AISH Client Average Age,Age 20 - 24,"6,346"
2020/05,Alberta,AISH Client Average Age,Age 25 - 29,"6,614"
2020/05,Alberta,AISH Client Average Age,Age 30 - 34,"6,233"
2020/05,Alberta,AISH Client Average Age,Age 35 - 39,"6,338"
2020/05,Alberta,AISH Client Average Age,Age 40 - 44,"5,906"
2020/05,Alberta,AISH Client Average Age,Age 45 - 49,"6,413"
2020/05,Alberta,AISH Client Average Age,Age 50 - 54,"7,858"
2020/05,Alberta,AISH Client Average Age,Age 55 - 59,"10,801"
2020/05,Alberta,AISH Client Average Age,Age 60 - 64,"10,805"
2020/05,Alberta,AISH Client Average Age,Age 65 +,605
2020/05,Alberta,AISH Client Average Age,All Ages Total,"69,594"
2020/05,Alberta,AISH Client Gender,Female,"32,548"
2020/05,Alberta,AISH Client Gender,Male,"37,046"
2020/05,Alberta,AISH Client Gender,All Gender Total,"69,594"
2020/05,Alberta,CSS Regions,Calgary,"20,274"
2020/05,Alberta,CSS Regions,Central,"9,398"
2020/05,Alberta,CSS Regions,Edmonton,"24,098"
2020/05,Alberta,CSS Regions,North Central,"4,463"
2020/05,Alberta,CSS Regions,North East,521
2020/05,Alberta,CSS Regions,North West,"3,337"
2020/05,Alberta,CSS Regions,South,"7,503"
2020/05,Alberta,CSS Regions,All Regions Total,"69,594"
2020/05,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,861"
2020/05,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,135"
2020/06,Alberta,Family Composition,Single Total,"60,106"
2020/06,Alberta,Family Composition,Single Parent Total,"4,245"
2020/06,Alberta,Family Composition,Childless Couples Total,"3,490"
2020/06,Alberta,Family Composition,Couples with Children Total,"1,926"
2020/06,Alberta,Family Composition,All Types Total,"69,767"
2020/06,Alberta,AISH Client Caseload,Straight AISH,"67,368"
2020/06,Alberta,AISH Client Caseload,Modified AISH,"2,254"
2020/06,Alberta,AISH Client Caseload,Com. Residence,145
2020/06,Alberta,AISH Client Caseload,Client Caseload Total,"69,767"
2020/06,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,809"
2020/06,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,239"
2020/06,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,667"
2020/06,Alberta,AISH Client Primary Medical Condition,Unknown,52
2020/06,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,767"
2020/06,Alberta,AISH Client Average Age,Age 18 - 19,"1,668"
2020/06,Alberta,AISH Client Average Age,Age 20 - 24,"6,361"
2020/06,Alberta,AISH Client Average Age,Age 25 - 29,"6,628"
2020/06,Alberta,AISH Client Average Age,Age 30 - 34,"6,277"
2020/06,Alberta,AISH Client Average Age,Age 35 - 39,"6,366"
2020/06,Alberta,AISH Client Average Age,Age 40 - 44,"5,919"
2020/06,Alberta,AISH Client Average Age,Age 45 - 49,"6,430"
2020/06,Alberta,AISH Client Average Age,Age 50 - 54,"7,869"
2020/06,Alberta,AISH Client Average Age,Age 55 - 59,"10,806"
2020/06,Alberta,AISH Client Average Age,Age 60 - 64,"10,833"
2020/06,Alberta,AISH Client Average Age,Age 65 +,610
2020/06,Alberta,AISH Client Average Age,All Ages Total,"69,767"
2020/06,Alberta,AISH Client Gender,Female,"32,603"
2020/06,Alberta,AISH Client Gender,Male,"37,164"
2020/06,Alberta,AISH Client Gender,All Gender Total,"69,767"
2020/06,Alberta,CSS Regions,Calgary,"20,334"
2020/06,Alberta,CSS Regions,Central,"9,417"
2020/06,Alberta,CSS Regions,Edmonton,"24,177"
2020/06,Alberta,CSS Regions,North Central,"3,532"
2020/06,Alberta,CSS Regions,North East,535
2020/06,Alberta,CSS Regions,North West,"4,265"
2020/06,Alberta,CSS Regions,South,"7,507"
2020/06,Alberta,CSS Regions,All Regions Total,"69,767"
2020/06,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,021"
2020/06,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,284"
2020/07,Alberta,Family Composition,Single Total,60117
2020/07,Alberta,Family Composition,Single Parent Total,"4,238"
2020/07,Alberta,Family Composition,Childless Couples Total,"3,521"
2020/07,Alberta,Family Composition,Couples with Children Total,"1,909"
2020/07,Alberta,Family Composition,All Types Total,"69,785"
2020/07,Alberta,AISH Client Caseload,Straight AISH,"67,392"
2020/07,Alberta,AISH Client Caseload,Modified AISH,"2,250"
2020/07,Alberta,AISH Client Caseload,Com. Residence,143
2020/07,Alberta,AISH Client Caseload,Client Caseload Total,"69,785"
2020/07,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,801"
2020/07,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,235"
2020/07,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,699"
2020/07,Alberta,AISH Client Primary Medical Condition,Unknown,50
2020/07,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,785"
2020/07,Alberta,AISH Client Average Age,Age 18 - 19,"1,652"
2020/07,Alberta,AISH Client Average Age,Age 20 - 24,"6,326"
2020/07,Alberta,AISH Client Average Age,Age 25 - 29,"6,661"
2020/07,Alberta,AISH Client Average Age,Age 30 - 34,"6,295"
2020/07,Alberta,AISH Client Average Age,Age 35 - 39,"6,395"
2020/07,Alberta,AISH Client Average Age,Age 40 - 44,"5,914"
2020/07,Alberta,AISH Client Average Age,Age 45 - 49,"6,409"
2020/07,Alberta,AISH Client Average Age,Age 50 - 54,"7,840"
2020/07,Alberta,AISH Client Average Age,Age 55 - 59,"10,766"
2020/07,Alberta,AISH Client Average Age,Age 60 - 64,"10,901"
2020/07,Alberta,AISH Client Average Age,Age 65 +,626
2020/07,Alberta,AISH Client Average Age,All Ages Total,"69,785"
2020/07,Alberta,AISH Client Gender,Female,"32,615"
2020/07,Alberta,AISH Client Gender,Male,"37,170"
2020/07,Alberta,AISH Client Gender,All Gender Total,"69,785"
2020/07,Alberta,CSS Regions,Calgary,"20,393"
2020/07,Alberta,CSS Regions,Central,"9,405"
2020/07,Alberta,CSS Regions,Edmonton,"24,201"
2020/07,Alberta,CSS Regions,North Central,"3,514"
2020/07,Alberta,CSS Regions,North East,536
2020/07,Alberta,CSS Regions,North West,"4,259"
2020/07,Alberta,CSS Regions,South,"7,477"
2020/07,Alberta,CSS Regions,All Regions Total,"69,785"
2020/07,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,982"
2020/07,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,914"
2020/08,Alberta,Family Composition,Single Total,"60,047"
2020/08,Alberta,Family Composition,Single Parent Total,"4,203"
2020/08,Alberta,Family Composition,Childless Couples Total,"3,501"
2020/08,Alberta,Family Composition,Couples with Children Total,"1,915"
2020/08,Alberta,Family Composition,All Types Total,"69,666"
2020/08,Alberta,AISH Client Caseload,Straight AISH,"67,296"
2020/08,Alberta,AISH Client Caseload,Modified AISH,"2,229"
2020/08,Alberta,AISH Client Caseload,Com. Residence,141
2020/08,Alberta,AISH Client Caseload,Client Caseload Total,"69,666"
2020/08,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,685"
2020/08,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,223"
2020/08,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,707"
2020/08,Alberta,AISH Client Primary Medical Condition,Unknown,51
2020/08,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,666"
2020/08,Alberta,AISH Client Average Age,Age 18 - 19,"1,644"
2020/08,Alberta,AISH Client Average Age,Age 20 - 24,"6,286"
2020/08,Alberta,AISH Client Average Age,Age 25 - 29,"6,677"
2020/08,Alberta,AISH Client Average Age,Age 30 - 34,"6,295"
2020/08,Alberta,AISH Client Average Age,Age 35 - 39,"6,414"
2020/08,Alberta,AISH Client Average Age,Age 40 - 44,"5,911"
2020/08,Alberta,AISH Client Average Age,Age 45 - 49,"6,394"
2020/08,Alberta,AISH Client Average Age,Age 50 - 54,"7,819"
2020/08,Alberta,AISH Client Average Age,Age 55 - 59,"10,735"
2020/08,Alberta,AISH Client Average Age,Age 60 - 64,"10,885"
2020/08,Alberta,AISH Client Average Age,Age 65 +,606
2020/08,Alberta,AISH Client Average Age,All Ages Total,"69,666"
2020/08,Alberta,AISH Client Gender,Female,"32,584"
2020/08,Alberta,AISH Client Gender,Male,"37,082"
2020/08,Alberta,AISH Client Gender,All Gender Total,"69,666"
2020/08,Alberta,CSS Regions,Calgary,"20,392"
2020/08,Alberta,CSS Regions,Central,"9,399"
2020/08,Alberta,CSS Regions,Edmonton,"24,135"
2020/08,Alberta,CSS Regions,North Central,"3,509"
2020/08,Alberta,CSS Regions,North East,533
2020/08,Alberta,CSS Regions,North West,"4,254"
2020/08,Alberta,CSS Regions,South,"7,444"
2020/08,Alberta,CSS Regions,All Regions Total,"69,666"
2020/08,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,346"
2020/08,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,945"
2020/09,Alberta,Family Composition,Single Total,"60,053"
2020/09,Alberta,Family Composition,Single Parent Total,"4,242"
2020/09,Alberta,Family Composition,Childless Couples Total,"3,505"
2020/09,Alberta,Family Composition,Couples with Children Total,"1,901"
2020/09,Alberta,Family Composition,All Types Total,"69,701"
2020/09,Alberta,AISH Client Caseload,Straight AISH,"67,350"
2020/09,Alberta,AISH Client Caseload,Modified AISH,"2,213"
2020/09,Alberta,AISH Client Caseload,Com. Residence,138
2020/09,Alberta,AISH Client Caseload,Client Caseload Total,"69,701"
2020/09,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,660"
2020/09,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,249"
2020/09,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,738"
2020/09,Alberta,AISH Client Primary Medical Condition,Unknown,54
2020/09,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,701"
2020/09,Alberta,AISH Client Average Age,Age 18 - 19,"1,627"
2020/09,Alberta,AISH Client Average Age,Age 20 - 24,"6,292"
2020/09,Alberta,AISH Client Average Age,Age 25 - 29,"6,702"
2020/09,Alberta,AISH Client Average Age,Age 30 - 34,"6,321"
2020/09,Alberta,AISH Client Average Age,Age 35 - 39,"6,406"
2020/09,Alberta,AISH Client Average Age,Age 40 - 44,"5,947"
2020/09,Alberta,AISH Client Average Age,Age 45 - 49,"6,359"
2020/09,Alberta,AISH Client Average Age,Age 50 - 54,"7,815"
2020/09,Alberta,AISH Client Average Age,Age 55 - 59,"10,717"
2020/09,Alberta,AISH Client Average Age,Age 60 - 64,"10,888"
2020/09,Alberta,AISH Client Average Age,Age 65 +,627
2020/09,Alberta,AISH Client Average Age,All Ages Total,"69,701"
2020/09,Alberta,AISH Client Gender,Female,"32,602"
2020/09,Alberta,AISH Client Gender,Male,"37,099"
2020/09,Alberta,AISH Client Gender,All Gender Total,"69,701"
2020/09,Alberta,CSS Regions,Calgary,"20,430"
2020/09,Alberta,CSS Regions,Central,"9,384"
2020/09,Alberta,CSS Regions,Edmonton,"24,165"
2020/09,Alberta,CSS Regions,North Central,"3,490"
2020/09,Alberta,CSS Regions,North East,532
2020/09,Alberta,CSS Regions,North West,"4,261"
2020/09,Alberta,CSS Regions,South,"7,439"
2020/09,Alberta,CSS Regions,All Regions Total,"69,701"
2020/09,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,474"
2020/09,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,367"
2020/10,Alberta,Family Composition,Single Total,"60,090"
2020/10,Alberta,Family Composition,Single Parent Total,"4,266"
2020/10,Alberta,Family Composition,Childless Couples Total,"3,490"
2020/10,Alberta,Family Composition,Couples with Children Total,"1,922"
2020/10,Alberta,Family Composition,All Types Total,"69,768"
2020/10,Alberta,AISH Client Caseload,Straight AISH,"67,410"
2020/10,Alberta,AISH Client Caseload,Modified AISH,"2,220"
2020/10,Alberta,AISH Client Caseload,Com. Residence,138
2020/10,Alberta,AISH Client Caseload,Client Caseload Total,"69,768"
2020/10,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,652"
2020/10,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,268"
2020/10,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,799"
2020/10,Alberta,AISH Client Primary Medical Condition,Unknown,49
2020/10,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,768"
2020/10,Alberta,AISH Client Average Age,Age 18 - 19,"1,624"
2020/10,Alberta,AISH Client Average Age,Age 20 - 24,"6,283"
2020/10,Alberta,AISH Client Average Age,Age 25 - 29,"6,756"
2020/10,Alberta,AISH Client Average Age,Age 30 - 34,"6,349"
2020/10,Alberta,AISH Client Average Age,Age 35 - 39,"6,403"
2020/10,Alberta,AISH Client Average Age,Age 40 - 44,"6,007"
2020/10,Alberta,AISH Client Average Age,Age 45 - 49,"6,331"
2020/10,Alberta,AISH Client Average Age,Age 50 - 54,"7,792"
2020/10,Alberta,AISH Client Average Age,Age 55 - 59,"10,722"
2020/10,Alberta,AISH Client Average Age,Age 60 - 64,"10,889"
2020/10,Alberta,AISH Client Average Age,Age 65 +,612
2020/10,Alberta,AISH Client Average Age,All Ages Total,"69,768"
2020/10,Alberta,AISH Client Gender,Female,"32,613"
2020/10,Alberta,AISH Client Gender,Male,"37,155"
2020/10,Alberta,AISH Client Gender,All Gender Total,"69,768"
2020/10,Alberta,CSS Regions,Calgary,"20,456"
2020/10,Alberta,CSS Regions,Central,"9,383"
2020/10,Alberta,CSS Regions,Edmonton,"24,194"
2020/10,Alberta,CSS Regions,North Central,"3,491"
2020/10,Alberta,CSS Regions,North East,536
2020/10,Alberta,CSS Regions,North West,"4,268"
2020/10,Alberta,CSS Regions,South,"7,440"
2020/10,Alberta,CSS Regions,All Regions Total,"69,768"
2020/10,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,682"
2020/10,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,900"
2020/11,Alberta,Family Composition,Single Total,"60,130"
2020/11,Alberta,Family Composition,Single Parent Total,"4,281"
2020/11,Alberta,Family Composition,Childless Couples Total,"3,474"
2020/11,Alberta,Family Composition,Couples with Children Total,"1,953"
2020/11,Alberta,Family Composition,All Types Total,"69,838"
2020/11,Alberta,AISH Client Caseload,Straight AISH,"67,462"
2020/11,Alberta,AISH Client Caseload,Modified AISH,"2,239"
2020/11,Alberta,AISH Client Caseload,Com. Residence,137
2020/11,Alberta,AISH Client Caseload,Client Caseload Total,"69,838"
2020/11,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,655"
2020/11,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,278"
2020/11,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,851"
2020/11,Alberta,AISH Client Primary Medical Condition,Unknown,54
2020/11,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,838"
2020/11,Alberta,AISH Client Average Age,Age 18 - 19,"1,634"
2020/11,Alberta,AISH Client Average Age,Age 20 - 24,"6,282"
2020/11,Alberta,AISH Client Average Age,Age 25 - 29,"6,780"
2020/11,Alberta,AISH Client Average Age,Age 30 - 34,"6,365"
2020/11,Alberta,AISH Client Average Age,Age 35 - 39,"6,402"
2020/11,Alberta,AISH Client Average Age,Age 40 - 44,"6,012"
2020/11,Alberta,AISH Client Average Age,Age 45 - 49,"6,318"
2020/11,Alberta,AISH Client Average Age,Age 50 - 54,"7,781"
2020/11,Alberta,AISH Client Average Age,Age 55 - 59,"10,736"
2020/11,Alberta,AISH Client Average Age,Age 60 - 64,"10,932"
2020/11,Alberta,AISH Client Average Age,Age 65 +,596
2020/11,Alberta,AISH Client Average Age,All Ages Total,"69,838"
2020/11,Alberta,AISH Client Gender,Female,"32,654"
2020/11,Alberta,AISH Client Gender,Male,"37,184"
2020/11,Alberta,AISH Client Gender,All Gender Total,"69,838"
2020/11,Alberta,CSS Regions,Calgary,"20,493"
2020/11,Alberta,CSS Regions,Central,"9,372"
2020/11,Alberta,CSS Regions,Edmonton,"24,261"
2020/11,Alberta,CSS Regions,North Central,"3,485"
2020/11,Alberta,CSS Regions,North East,535
2020/11,Alberta,CSS Regions,North West,"4,278"
2020/11,Alberta,CSS Regions,South,"7,414"
2020/11,Alberta,CSS Regions,All Regions Total,"69,838"
2020/11,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,931"
2020/11,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,773"
2020/12,Alberta,Family Composition,Single Total,"60,086"
2020/12,Alberta,Family Composition,Single Parent Total,"4,311"
2020/12,Alberta,Family Composition,Childless Couples Total,"3,476"
2020/12,Alberta,Family Composition,Couples with Children Total,"1,927"
2020/12,Alberta,Family Composition,All Types Total,"69,800"
2020/12,Alberta,AISH Client Caseload,Straight AISH,"67,452"
2020/12,Alberta,AISH Client Caseload,Modified AISH,"2,214"
2020/12,Alberta,AISH Client Caseload,Com. Residence,134
2020/12,Alberta,AISH Client Caseload,Client Caseload Total,"69,800"
2020/12,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,601"
2020/12,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,273"
2020/12,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,875"
2020/12,Alberta,AISH Client Primary Medical Condition,Unknown,51
2020/12,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,800"
2020/12,Alberta,AISH Client Average Age,Age 18 - 19,"1,595"
2020/12,Alberta,AISH Client Average Age,Age 20 - 24,"6,293"
2020/12,Alberta,AISH Client Average Age,Age 25 - 29,"6,789"
2020/12,Alberta,AISH Client Average Age,Age 30 - 34,"6,366"
2020/12,Alberta,AISH Client Average Age,Age 35 - 39,"6,415"
2020/12,Alberta,AISH Client Average Age,Age 40 - 44,"6,035"
2020/12,Alberta,AISH Client Average Age,Age 45 - 49,"6,310"
2020/12,Alberta,AISH Client Average Age,Age 50 - 54,"7,740"
2020/12,Alberta,AISH Client Average Age,Age 55 - 59,"10,683"
2020/12,Alberta,AISH Client Average Age,Age 60 - 64,"10,945"
2020/12,Alberta,AISH Client Average Age,Age 65 +,629
2020/12,Alberta,AISH Client Average Age,All Ages Total,"69,800"
2020/12,Alberta,AISH Client Gender,Female,"32,662"
2020/12,Alberta,AISH Client Gender,Male,"37,138"
2020/12,Alberta,AISH Client Gender,All Gender Total,"69,800"
2020/12,Alberta,CSS Regions,Calgary,"20,500"
2020/12,Alberta,CSS Regions,Central,"9,346"
2020/12,Alberta,CSS Regions,Edmonton,"24,262"
2020/12,Alberta,CSS Regions,North Central,"3,489"
2020/12,Alberta,CSS Regions,North East,538
2020/12,Alberta,CSS Regions,North West,"4,256"
2020/12,Alberta,CSS Regions,South,"7,409"
2020/12,Alberta,CSS Regions,All Regions Total,"69,800"
2020/12,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,876"
2020/12,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"15,917"
2021/01,Alberta,Family Composition,Single Total,"60,233"
2021/01,Alberta,Family Composition,Single Parent Total,"4,326"
2021/01,Alberta,Family Composition,Childless Couples Total,"3,484"
2021/01,Alberta,Family Composition,Couples with Children Total,"1,934"
2021/01,Alberta,Family Composition,All Types Total,"69,977"
2021/01,Alberta,AISH Client Caseload,Straight AISH,"67,638"
2021/01,Alberta,AISH Client Caseload,Modified AISH,"2,205"
2021/01,Alberta,AISH Client Caseload,Com. Residence,134
2021/01,Alberta,AISH Client Caseload,Client Caseload Total,"69,977"
2021/01,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"30,633"
2021/01,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"21,346"
2021/01,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"17,946"
2021/01,Alberta,AISH Client Primary Medical Condition,Unknown,52
2021/01,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"69,977"
2021/01,Alberta,AISH Client Average Age,Age 18 - 19,"1,557"
2021/01,Alberta,AISH Client Average Age,Age 20 - 24,"6,320"
2021/01,Alberta,AISH Client Average Age,Age 25 - 29,"6,830"
2021/01,Alberta,AISH Client Average Age,Age 30 - 34,"6,395"
2021/01,Alberta,AISH Client Average Age,Age 35 - 39,"6,443"
2021/01,Alberta,AISH Client Average Age,Age 40 - 44,"6,076"
2021/01,Alberta,AISH Client Average Age,Age 45 - 49,"6,321"
2021/01,Alberta,AISH Client Average Age,Age 50 - 54,"7,761"
2021/01,Alberta,AISH Client Average Age,Age 55 - 59,"10,657"
2021/01,Alberta,AISH Client Average Age,Age 60 - 64,"10,955"
2021/01,Alberta,AISH Client Average Age,Age 65 +,662
2021/01,Alberta,AISH Client Average Age,All Ages Total,"69,977"
2021/01,Alberta,AISH Client Gender,Female,"32,710"
